,0
3MINDIA,2645.2
ABB,69305.85
ACC,1403896.8
AIAENG,19684.55
APLAPOLLO,57434.9
AUBANK,357315.4
AARTIIND,146639.45
AAVAS,52871.95
ABBOTINDIA,5623.55
ADANIGAS,1936247.55
ADANIGREEN,813798.95
ADANIPORTS,5470733.6
ADANIPOWER,1930537.8
ADANITRANS,240066.4
ABCAPITAL,2651661.2
ABFRL,5513571.5
ADVENZYMES,193470.65
AEGISCHEM,150914.9
AFFLE,34746.4
AJANTPHARM,140514.25
AKZOINDIA,8239.75
APLLTD,243627.55
ALKEM,81459.75
ALKYLAMINE,22789.95
ALLCARGO,94462.05
AMARAJABAT,822791.45
AMBER,250612.1
AMBUJACEM,7088045.05
APOLLOHOSP,740570.75
APOLLOTYRE,7243341.75
ARVINDFASN,96918.6
ASAHIINDIA,36506.4
ASHOKLEY,28525818.15
ASHOKA,212554.45
ASIANPAINT,1956128.05
ASTERDM,121319.95
ASTRAZEN,31687.75
ASTRAL,44250.95
ATUL,19983.2
AUROPHARMA,2287006.75
AVANTIFEED,147772.45
DMART,490650.8
AXISBANK,19091324.2
BASF,39602.6
BEML,173900.15
BSE,158950.2
BAJAJ-AUTO,768705.45
BAJAJCON,237802.1
BAJAJELEC,155877.25
BAJFINANCE,3427294.7
BAJAJFINSV,567964.75
BAJAJHLDNG,36603.2
BALKRISIND,566285.45
BALMLAWRIE,118210.3
BALRAMCHIN,817626.1
BANDHANBNK,6448962.25
BANKBARODA,23762123.0
BANKINDIA,1181314.0
MAHABANK,624926.55
BATAINDIA,429501.1
BAYERCROP,15237.4
BERGEPAINT,1185141.7
BDL,129307.4
BEL,4259385.55
BHARATFORG,1683605.35
BHEL,16355021.35
BPCL,5260234.75
BHARATRAS,1532.25
BHARTIARTL,18286417.1
INFRATEL,5509404.0
BIOCON,2801352.05
BIRLACORPN,192711.9
BSOFT,521486.5
BLISSGVS,309655.6
BLUEDART,58857.2
BLUESTARCO,55906.55
BBTC,0.0
BOMDYEING,703158.75
BOSCHLTD,32966.3
BRIGADE,268499.2
BRITANNIA,907223.4
CARERATING,580998.8
CCL,144717.25
CESC,134730.5
CRISIL,39808.4
CSBBANK,121934.6
CADILAHC,3858473.85
CANFINHOME,165737.65
CANBK,4710003.1
CAPLIPOINT,84652.7
CGCL,118920.8
CARBORUNIV,441544.1
CASTROLIND,1220584.7
CEATLTD,282109.25
CENTRALBK,2388655.1
CDSL,659053.95
CENTURYPLY,182701.35
CENTURYTEX,363179.0
CERA,9267.65
CHAMBLFERT,461205.85
CHENNPETRO,1892264.35
CHOLAHLDNG,66025.8
CHOLAFIN,4694875.75
CIPLA,4547553.15
CUB,1150805.3
COALINDIA,9479661.4
COCHINSHIP,299041.45
COFORGE,787432.45
COLPAL,722236.8
CONCOR,1625547.8
COROMANDEL,332279.4
CREDITACC,71070.7
CROMPTON,1279905.35
CUMMINSIND,564882.8
CYIENT,406244.95
DBCORP,77953.75
DCBBANK,704355.6
DCMSHRIRAM,71448.15
DLF,9698166.2
DABUR,3070715.35
DALBHARAT,173830.85
DEEPAKNTR,564291.4
DELTACORP,1670802.95
DHANUKA,39396.5
DBL,77222.7
DISHTV,2412975.25
DCAL,193419.85
DIVISLAB,806509.25
DIXON,35980.5
LALPATHLAB,150899.65
DRREDDY,1322441.45
EIDPARRY,216367.15
EIHOTEL,261975.65
ESABINDIA,2520.8
EDELWEISS,981378.3
EICHERMOT,796497.25
ELGIEQUIP,29162.9
EMAMILTD,403295.4
ENDURANCE,68371.1
ENGINERSIN,943224.75
EQUITAS,2177585.95
ERIS,65989.5
ESCORTS,1418350.3
ESSELPACK,0.0
EXIDEIND,2030714.15
FDC,82375.35
FEDERALBNK,28128611.55
FINEORG,27804.7
FINCABLES,66734.15
FINPIPE,91449.0
FSL,1783655.15
FORTIS,1121064.15
FCONSUMER,3975587.4
FRETAIL,2080074.75
GAIL,8783630.1
GEPIL,579941.6
GET&D,24885.9
GHCL,194831.6
GMMPFAUDLR,31779.1
GMRINFRA,5178167.45
GALAXYSURF,18659.9
GRSE,59085.3
GARFIBRES,16393.9
GICRE,97178.15
GILLETTE,2119.7
GLAXO,32479.05
GLENMARK,1746951.85
GODFRYPHLP,17379.5
GODREJAGRO,63074.6
GODREJCP,984261.0
GODREJIND,62477.85
GODREJPROP,2085635.8
GRANULES,937287.95
GRAPHITE,295001.45
GRASIM,1281594.5
GESHIP,143974.25
GREAVESCOT,237457.45
GRINDWELL,18768.55
