,0
3MINDIA,2653.2545454545457
ABB,95685.43636363637
ACC,999289.2181818181
AIAENG,28527.327272727274
APLAPOLLO,56552.29090909091
AUBANK,328879.0909090909
AARTIIND,159417.0909090909
AAVAS,58347.03636363636
ABBOTINDIA,5881.418181818181
ADANIGAS,1392966.8545454545
ADANIGREEN,1103081.8181818181
ADANIPORTS,3709740.381818182
ADANIPOWER,1336596.4727272727
ADANITRANS,291076.58181818185
ABCAPITAL,1763639.9636363636
ABFRL,2767244.9454545453
ADVENZYMES,721560.7636363637
AEGISCHEM,167228.56363636363
AFFLE,33348.72727272727
AJANTPHARM,124751.41818181818
AKZOINDIA,6670.0
APLLTD,273961.16363636364
ALKEM,95522.21818181819
ALKYLAMINE,21455.763636363637
ALLCARGO,253749.94545454546
AMARAJABAT,638989.490909091
AMBER,229714.1090909091
AMBUJACEM,5337116.545454546
APOLLOHOSP,1167799.5454545454
APOLLOTYRE,5397380.472727273
ARVINDFASN,120961.47272727273
ASAHIINDIA,29198.327272727274
ASHOKLEY,32746399.854545455
ASHOKA,358170.07272727275
ASIANPAINT,1652286.490909091
ASTERDM,144329.9090909091
ASTRAZEN,36886.8
ASTRAL,77067.63636363637
ATUL,34844.01818181818
AUROPHARMA,2633887.309090909
AVANTIFEED,221354.5090909091
DMART,511416.9090909091
AXISBANK,15941433.218181819
BASF,28389.381818181817
BEML,187517.0
BSE,250732.56363636363
BAJAJ-AUTO,739908.2545454545
BAJAJCON,399173.67272727273
BAJAJELEC,184019.5090909091
BAJFINANCE,3253277.8545454545
BAJAJFINSV,466858.3090909091
BAJAJHLDNG,30570.6
BALKRISIND,619112.7818181819
BALMLAWRIE,144668.56363636363
BALRAMCHIN,704644.4
BANDHANBNK,6758648.836363636
BANKBARODA,18701235.927272726
BANKINDIA,1345749.8727272728
MAHABANK,795034.2545454545
BATAINDIA,530366.1818181818
BAYERCROP,20704.30909090909
BERGEPAINT,1024806.509090909
BDL,255618.81818181818
BEL,4881781.981818181
BHARATFORG,1500484.6181818182
BHEL,18674875.98181818
BPCL,6169813.654545454
BHARATRAS,2630.5454545454545
BHARTIARTL,17287502.363636363
INFRATEL,6981016.672727273
BIOCON,3195304.654545455
BIRLACORPN,171416.25454545455
BSOFT,1225915.7636363637
BLISSGVS,401489.6909090909
BLUEDART,40964.72727272727
BLUESTARCO,79276.25454545455
BOMDYEING,766059.3090909091
BOSCHLTD,40418.94545454546
BRIGADE,151755.2
BRITANNIA,553400.2363636363
CARERATING,264198.2181818182
CCL,124925.81818181818
CESC,170320.94545454546
CRISIL,30004.98181818182
CSBBANK,127546.70909090909
CADILAHC,4095436.327272727
CANFINHOME,400634.8
CANBK,4911243.163636364
CAPLIPOINT,170306.8
CGCL,108331.4
CARBORUNIV,236134.9090909091
CASTROLIND,901993.2727272727
CEATLTD,200859.41818181818
CENTRALBK,2607411.1818181816
CDSL,829991.0181818182
CENTURYPLY,199908.6
CENTURYTEX,476518.2727272727
CERA,6029.581818181819
CHAMBLFERT,552261.1272727273
CHENNPETRO,856519.5636363636
CHOLAHLDNG,42682.63636363636
CHOLAFIN,4085241.2363636363
CIPLA,6092986.1454545455
CUB,1031393.8909090909
COALINDIA,8822718.563636364
COCHINSHIP,206766.8909090909
COFORGE,590965.3090909091
COLPAL,545896.0909090909
CONCOR,1378608.7272727273
COROMANDEL,355605.05454545456
CREDITACC,68284.47272727273
CROMPTON,856344.8909090909
CUMMINSIND,797949.1090909091
CYIENT,423307.83636363636
DBCORP,89070.78181818181
DCBBANK,993935.7636363637
DCMSHRIRAM,58629.472727272725
DLF,8608013.127272727
DABUR,2396718.327272727
DALBHARAT,166946.76363636364
DEEPAKNTR,873472.9818181818
DELTACORP,1162470.0
DHANUKA,60136.34545454545
DBL,73367.65454545454
DISHTV,4476470.018181819
DCAL,272058.4727272727
DIVISLAB,959609.4545454546
DIXON,42138.6
LALPATHLAB,166717.58181818182
DRREDDY,2379902.618181818
EIDPARRY,256217.0909090909
EIHOTEL,452162.4727272727
ESABINDIA,1948.3636363636363
EDELWEISS,822291.3454545455
EICHERMOT,879134.490909091
ELGIEQUIP,59864.781818181815
EMAMILTD,289674.07272727275
ENDURANCE,58018.43636363636
ENGINERSIN,1148714.4363636363
EQUITAS,2227307.0727272728
ERIS,122493.6909090909
ESCORTS,1413769.1090909091
EXIDEIND,2143347.327272727
FDC,190539.4
FEDERALBNK,24683674.854545455
FINEORG,37641.43636363636
FINCABLES,78180.90909090909
FINPIPE,44951.43636363636
FSL,2209513.727272727
FORTIS,1345900.7636363637
FCONSUMER,5245086.927272728
FRETAIL,2658845.272727273
GAIL,8761681.38181818
GEPIL,220683.0
GET&D,50163.98181818182
GHCL,128934.85454545454
GMMPFAUDLR,81343.67272727273
GMRINFRA,8827003.672727272
GALAXYSURF,15108.89090909091
GRSE,164568.63636363635
GARFIBRES,18019.254545454547
GICRE,115169.18181818182
GILLETTE,2792.4727272727273
GLAXO,73968.83636363636
GLENMARK,2119367.654545455
GODFRYPHLP,23646.81818181818
GODREJAGRO,83346.18181818182
GODREJCP,1122615.018181818
GODREJIND,58826.29090909091
GODREJPROP,1035800.4
GRANULES,1988070.7636363637
GRAPHITE,361039.83636363636
GRASIM,1548323.3454545455
GESHIP,103992.98181818181
GREAVESCOT,242879.9818181818
GRINDWELL,20546.763636363637
GUJALKALI,49429.70909090909
FLUOROCHEM,25885.036363636365
GUJGASLTD,424667.63636363635
GMDCLTD,421519.56363636366
GNFC,591451.2363636363
GPPL,266459.85454545455
GSFC,884085.6363636364
GSPL,442877.0
GULFOILLUB,11492.8
HEG,180271.36363636365
HCLTECH,8447485.854545455
HDFCAMC,203677.81818181818
HDFCBANK,7829077.745454545
HDFCLIFE,2595736.7818181817
HFCL,3090616.345454545
HATSUN,26298.054545454546
HAVELLS,1600235.7272727273
HEIDELBERG,211088.72727272726
HERITGFOOD,35261.472727272725
HEROMOTOCO,1209142.9090909092
HEXAWARE,412003.83636363636
HSCL,805079.8181818182
HIMATSEIDE,871478.4363636364
HINDALCO,11576979.727272727
HAL,379254.7454545455
HINDCOPPER,453811.9636363636
HINDPETRO,5876974.872727273
HINDUNILVR,1591150.7818181817
HINDZINC,1037701.5272727272
HONAUT,2220.7636363636366
HUDCO,557046.8181818182
HDFC,3489345.1636363636
ICICIBANK,21083412.727272727
ICICIGI,301047.5090909091
ICICIPRULI,1268624.6363636365
ISEC,244000.58181818182
ICRA,1765.418181818182
IDBI,1152452.2727272727
IDFCFIRSTB,21131800.21818182
IDFC,2978083.381818182
IFBIND,100411.47272727273
IFCI,900945.509090909
IIFL,351701.54545454547
IIFLWAM,35743.36363636364
IRCON,427105.4
ITC,18534175.927272726
ITI,506812.7454545455
INDIACEM,1032877.7090909091
ITDC,47385.472727272725
IBULHSGFIN,12957916.545454545
IBREALEST,1171287.8545454545
INDIAMART,71449.25454545455
INDIANB,583291.8909090909
IEX,980528.8727272727
INDHOTEL,2083915.8363636364
IOC,12665861.10909091
IOB,984532.1272727273
IRCTC,191314.58181818182
INDOSTAR,23377.272727272728
INDOCO,172745.32727272727
IGL,2195187.018181818
INDUSINDBK,13806265.454545455
INFIBEAM,735606.0
NAUKRI,401139.65454545454
INFY,8672006.4
INGERRAND,8774.218181818182
INOXLEISUR,398585.2181818182
INTELLECT,199178.4
INDIGO,1134449.5636363637
IPCALAB,222441.72727272726
JBCHEPHARM,385850.2181818182
JKCEMENT,63209.818181818184
JKLAKSHMI,228843.87272727274
JKPAPER,349368.9818181818
JKTYRE,978109.0545454546
JMFINANCIL,653132.3636363636
JSWENERGY,1453737.9636363636
JSWSTEEL,6167010.836363636
JAGRAN,146745.8909090909
JAICORPLTD,585228.1636363637
J&KBANK,680427.0545454546
JAMNAAUTO,921050.8181818182
JINDALSAW,633103.6
JSLHISAR,332933.32727272727
JSL,332933.32727272727
JINDALSTEL,8993102.218181819
JCHAC,6159.472727272727
JUBLFOOD,436279.05454545456
JUBILANT,245998.16363636364
JUSTDIAL,2667803.290909091
JYOTHYLAB,248706.12727272726
KPRMILL,63252.05454545454
KEI,115886.92727272728
KNRCON,56725.29090909091
KPITTECH,795359.5636363636
KRBL,151917.74545454545
KSB,34151.145454545454
KAJARIACER,343366.7636363636
KALPATPOWR,238224.5090909091
KANSAINER,132442.8909090909
KTKBANK,871657.3454545455
KARURVYSYA,882578.7272727273
KSCL,136835.6
KEC,292022.41818181815
KOLTEPATIL,52441.67272727273
KOTAKBANK,3568409.0545454547
L&TFH,8010568.872727273
LTTS,172235.63636363635
LICHSGFIN,3304540.0545454547
LAOPALA,91305.32727272727
LAXMIMACH,7664.909090909091
LTI,313861.7090909091
LT,3751268.5454545454
LAURUSLABS,3304870.7818181817
LEMONTREE,508415.58181818185
LINDEINDIA,103136.6909090909
LUPIN,2751226.1454545455
LUXIND,56258.72727272727
MASFIN,12960.10909090909
MMTC,299984.5090909091
MOIL,120508.81818181818
MRF,16537.50909090909
MGL,676537.509090909
MAHSCOOTER,3428.6363636363635
MAHSEAMLES,33563.25454545455
M&M,3849201.418181818
MAHINDCIE,242685.41818181818
MHRIL,42020.43636363636
MAHLOG,31501.254545454547
MANAPPURAM,4485435.836363636
MRPL,813659.7272727273
MARICO,2454496.618181818
MARUTI,756027.5454545454
MFSL,865166.9272727272
METROPOLIS,86364.8
MINDTREE,1319074.8909090909
MINDACORP,243186.16363636364
MINDAIND,93260.8
MIDHANI,215590.54545454544
MOTHERSUMI,8908385.218181819
MOTILALOFS,69422.6
MPHASIS,349862.67272727273
MCX,206876.1090909091
MUTHOOTFIN,1434214.9272727272
NATCOPHARM,524153.5272727273
NBCC,2571625.5454545454
NCC,4751612.2
NESCO,54662.36363636364
NHPC,3349626.327272727
NLCINDIA,284814.4
