,0
CENTURYPLY,2593836
CENTURYTEX,1982564
CERA,104252
CHAMBLFERT,3342966
CHENNPETRO,15497025
CHOLAHLDNG,268157
CHOLAFIN,24234206
CIPLA,35527345
CUB,3699931
COALINDIA,20421826
COCHINSHIP,2137798
COFORGE,6184703
COLPAL,2426078
CONCOR,13573170
COROMANDEL,2139338
CREDITACC,260784
CROMPTON,7411446
CUMMINSIND,3509731
CYIENT,3027553
DBCORP,594126
DCBBANK,4346332
DCMSHRIRAM,304435
DLF,29960943
DABUR,9690523
DALBHARAT,1391401
DEEPAKNTR,3852089
DELTACORP,8763775
DHANUKA,404611
DBL,398602
DISHTV,28648020
DCAL,1166094
DIVISLAB,6257683
DIXON,159051
LALPATHLAB,1499604
DRREDDY,21987146
EIDPARRY,2395469
EIHOTEL,3122617
ESABINDIA,20361
EDELWEISS,5171640
EICHERMOT,2754316
ELGIEQUIP,414828
EMAMILTD,1451005
ENDURANCE,324302
ENGINERSIN,3807892
EQUITAS,10840894
ERIS,2648052
ESCORTS,4865306
EXIDEIND,5279318
FDC,1021072
FEDERALBNK,93001569
FINEORG,158054
FINCABLES,464005
FINPIPE,659257
FSL,9980530
FORTIS,8745623
FCONSUMER,23756680
FRETAIL,11488223
GAIL,23856234
GEPIL,2572844
GET&D,1257139
GHCL,1653709
GMMPFAUDLR,1539961
GMRINFRA,51369123
GALAXYSURF,73376
GRSE,2078914
GARFIBRES,122263
GICRE,537233
GILLETTE,16493
GLAXO,859170
GLENMARK,9398103
GODFRYPHLP,109586
GODREJAGRO,542119
GODREJCP,2919418
GODREJIND,331551
GODREJPROP,8420049
GRANULES,11238327
GRAPHITE,1595372
GRASIM,3927324
GESHIP,518616
GREAVESCOT,1167287
GRINDWELL,222068
GUJALKALI,190407
FLUOROCHEM,356077
GUJGASLTD,2841490
GMDCLTD,7867732
GNFC,4300097
GPPL,2068020
GSFC,4814516
GSPL,2515448
GULFOILLUB,130162
HEG,770970
HCLTECH,28983265
HDFCAMC,891189
HDFCBANK,22486215
HDFCLIFE,21453700
HFCL,12111808
HATSUN,292733
HAVELLS,12035236
HEIDELBERG,1240348
HERITGFOOD,268716
HEROMOTOCO,5321204
HEXAWARE,6990404
HSCL,9545228
HIMATSEIDE,9214513
HINDALCO,36625394
HAL,1353481
HINDCOPPER,6413155
HINDPETRO,48028970
HINDUNILVR,5855301
HINDZINC,8286204
HONAUT,13217
HUDCO,1975000
HDFC,16829628
ICICIBANK,78166940
ICICIGI,1520695
ICICIPRULI,3725793
ISEC,1406991
ICRA,18523
IDBI,12031061
IDFCFIRSTB,58820360
IDFC,20272950
IFBIND,922672
IFCI,5683849
IIFL,2689573
IIFLWAM,381617
IRCON,4281100
ITC,66250654
ITI,2836083
INDIACEM,4714423
ITDC,1420251
IBULHSGFIN,60821038
IBREALEST,3976189
INDIAMART,279378
INDIANB,3515396
IEX,4572524
INDHOTEL,13320448
IOC,54768803
IOB,12147034
IRCTC,947382
INDOSTAR,471721
INDOCO,1106833
IGL,14026634
INDUSINDBK,49858887
INFIBEAM,6204548
NAUKRI,1368453
INFY,44288566
INGERRAND,40658
INOXLEISUR,4538179
INTELLECT,722319
INDIGO,3291129
IPCALAB,2174313
JBCHEPHARM,4572424
JKCEMENT,322190
JKLAKSHMI,1205232
JKPAPER,2117955
JKTYRE,11463565
JMFINANCIL,6627067
JSWENERGY,8281637
JSWSTEEL,19877383
JAGRAN,493293
JAICORPLTD,3048883
J&KBANK,4882118
JAMNAAUTO,5423518
JINDALSAW,8161074
JSLHISAR,2042249
JSL,2042249
JINDALSTEL,27153503
JCHAC,27202
JUBLFOOD,1290104
JUBILANT,1096055
JUSTDIAL,14998459
JYOTHYLAB,1624632
KPRMILL,564166
KEI,340477
KNRCON,282225
KPITTECH,3795983
KRBL,615953
KSB,725189
KAJARIACER,2042415
KALPATPOWR,1348390
KANSAINER,621514
KTKBANK,8384059
KARURVYSYA,3498904
KSCL,630027
KEC,1965811
KOLTEPATIL,476245
KOTAKBANK,33167143
L&TFH,24953733
LTTS,1800324
LICHSGFIN,32887663
LAOPALA,1351972
LAXMIMACH,56460
LTI,1614848
LT,13188768
LAURUSLABS,12111836
LEMONTREE,1529545
LINDEINDIA,899572
LUPIN,15274627
LUXIND,184771
MASFIN,65020
MMTC,1352483
MOIL,454775
MRF,88721
MGL,3108378
MAHSCOOTER,17819
MAHSEAMLES,170249
M&M,18993400
MAHINDCIE,8833225
MHRIL,224752
MAHLOG,194331
MANAPPURAM,17412499
MRPL,12494191
MARICO,10855977
MARUTI,2666025
MFSL,5420363
METROPOLIS,734635
MINDTREE,9049480
MINDACORP,1103406
MINDAIND,404782
MIDHANI,1190227
MOTHERSUMI,23268863
MOTILALOFS,565408
MPHASIS,1436214
MCX,1116448
MUTHOOTFIN,5076752
NATCOPHARM,7395084
NBCC,8258122
NCC,20571454
NESCO,477191
NHPC,27108411
NLCINDIA,2629629
NMDC,30309641
NTPC,118128168
NH,533179
NATIONALUM,42027871
NFL,4954040
NBVENTURES,565313
NAVINFLUOR,668372
NESTLEIND,493572
NILKAMAL,54785
NAM-INDIA,1248906
OBEROIRLTY,3651013
ONGC,50074521
OIL,5779132
OMAXE,194334
OFSS,446595
ORIENTCEM,2550845
ORIENTELEC,2216260
ORIENTREF,349213
PIIND,1084043
PNBHOUSING,1649563
PNCINFRA,728172
PTC,4034494
PAGEIND,185325
PERSISTENT,826110
PETRONET,10873206
PFIZER,138942
PHILIPCARB,3843725
PHOENIXLTD,577648
PIDILITIND,4759520
PEL,2374687
POLYMED,1296517
POLYCAB,3608356
PFC,9559540
POWERGRID,21969260
PRAJIND,5406029
PRESTIGE,1098992
PRSMJOHNSN,1381358
PGHL,143474
PGHH,22504
PNB,72403902
QUESS,1214487
RBLBANK,39882217
RECLTD,12275575
RITES,1157244
RADICO,1762001
RVNL,6586775
RAIN,2031467
RAJESHEXPO,997519
RALLIS,2167334
RCF,3090030
RATNAMANI,132542
RAYMOND,2435444
REDINGTON,2606373
RELAXO,406782
RELIANCE,45857806
REPCOHOME,3825904
SBICARD,11939340
SBILIFE,14778958
SJVN,5687248
SKFINDIA,106442
SRF,1465504
SADBHAV,1493743
SANOFI,42014
SCHAEFFLER,125722
SCHNEIDER,286220
SIS,1064892
SEQUENT,3499259
SFL,543880
SCI,2947496
SHOPERSTOP,2303915
SHREECEM,239232
RENUKA,3740809
SHRIRAMCIT,135098
SRTRANSFIN,11754743
SIEMENS,3346299
SOBHA,2939417
SOLARINDS,315961
SONATSOFTW,2512356
SOUTHBANK,15423092
SPANDANA,365346
SPICEJET,18941440
STARCEMENT,3519713
SBIN,138023646
SAIL,85133089
SWSOLAR,2128017
STAR,3711695
SUDARSCHEM,2187948
SUMICHEM,8170236
SPARC,2279667
SUNPHARMA,48182254
SUNTV,5616373
SUNDARMFIN,292790
SUNDRMFAST,289822
SUNTECK,1128047
SUPRAJIT,1325308
SUPREMEIND,378556
SUZLON,51853173
SWANENERGY,224960
SYMPHONY,280145
SYNGENE,5717606
TCIEXP,78167
TCNSBRANDS,106318
TTKPRESTIG,28269
TVTODAY,130808
TV18BRDCST,7364745
TVSMOTOR,22255254
TAKE,4443031
TASTYBITE,2373
TATACOMM,340635
TCS,19839826
TATACONSUM,10455347
TATAELXSI,2226205
TATAINVEST,256435
TATAMTRDVR,12605043
TATAMOTORS,162047240
TATAPOWER,34523774
TATASTLBSL,13092892
TATASTEEL,31651023
TEAMLEASE,112278
TECHM,11398850
NIACL,612743
RAMCOCEM,3334852
THERMAX,410974
THYROCARE,4567966
TIMETECHNO,2167703
TIMKEN,235854
TITAN,9411160
TORNTPHARM,1462824
TORNTPOWER,4143707
TRENT,4548300
TRIDENT,86797022
TIINDIA,1201795
UCOBANK,9327763
UFLEX,314991
UPL,22982753
UJJIVAN,1127297
UJJIVANSFB,1904639
ULTRACEMCO,2369441
UNIONBANK,8065194
UBL,2237026
MCDOWELL-N,7942523
VGUARD,1867835
VMART,78646
VIPIND,1266332
VRLLOG,303927
VSTIND,34378
VAIBHAVGBL,77347
VAKRANGEE,4316003
VTL,64080
VARROC,874973
VBL,2190861
VENKEYS,611790
VESUVIUS,106409
VINATIORGA,1281974
IDEA,742507324
VOLTAS,8434698
WABCOINDIA,44926
WELCORP,3834813
WELSPUNIND,4664481
WESTLIFE,624034
WHIRLPOOL,173758
WIPRO,107270570
WOCKPHARMA,1809071
ZEEL,76316695
ZENSARTECH,1410215
ZYDUSWELL,229683
ECLERX,296117
