,0
3MINDIA,11186
ABB,642606
ACC,6433390
AIAENG,407838
APLAPOLLO,332896
AUBANK,1781360
AARTIIND,554495
AAVAS,456921
ABBOTINDIA,23230
ADANIGAS,7919096
ADANIGREEN,20107415
ADANIPORTS,17940352
ADANIPOWER,22800047
ADANITRANS,1200867
ABCAPITAL,14057760
ABFRL,59258955
ADVENZYMES,6767608
AEGISCHEM,1034345
AFFLE,142530
AJANTPHARM,699933
AKZOINDIA,51477
APLLTD,1064148
ALKEM,485671
ALKYLAMINE,98932
ALLCARGO,1620800
AMARAJABAT,2228948
AMBER,1722230
AMBUJACEM,20195023
APOLLOHOSP,5742873
APOLLOTYRE,20076196
ARVINDFASN,733143
ASAHIINDIA,269183
ASHOKLEY,108390484
ASHOKA,1443794
ASIANPAINT,4964904
ASTERDM,725352
ASTRAZEN,388311
ASTRAL,452760
ATUL,496709
AUROPHARMA,12465607
AVANTIFEED,1488109
DMART,3267640
AXISBANK,50934761
BASF,532697
BEML,894446
BSE,3359783
BAJAJ-AUTO,4741959
BAJAJCON,3013614
BAJAJELEC,946693
BAJFINANCE,7536460
BAJAJFINSV,1559339
BAJAJHLDNG,155124
BALKRISIND,3043665
BALMLAWRIE,806398
BALRAMCHIN,3171593
BANDHANBNK,17060357
BANKBARODA,61695399
BANKINDIA,7153117
MAHABANK,7394405
BATAINDIA,2254147
BAYERCROP,284769
BERGEPAINT,5184585
BDL,1013307
BEL,16249622
BHARATFORG,6277026
BHEL,57970215
BPCL,43596665
BHARATRAS,19000
BHARTIARTL,123585653
INFRATEL,53514431
BIOCON,11410425
BIRLACORPN,983829
BSOFT,6758601
BLISSGVS,1640989
BLUEDART,481444
BLUESTARCO,897200
BOMDYEING,3473468
BOSCHLTD,106829
BRIGADE,1347024
BRITANNIA,3538724
CARERATING,4181973
CCL,607343
CESC,1076172
CRISIL,310169
CSBBANK,1530138
CADILAHC,30218448
CANFINHOME,2686213
CANBK,16215961
CAPLIPOINT,1854448
CGCL,588010
CARBORUNIV,2215068
CASTROLIND,10743139
CEATLTD,1858572
CENTRALBK,10377765
CDSL,3628776
