,0
TCNSBRANDS,416462
TTKPRESTIG,82096
TVTODAY,817245
TV18BRDCST,60919493
TVSMOTOR,22255254
TAKE,5410941
TASTYBITE,8835
TATACOMM,928625
TCS,19839826
TATACONSUM,63552596
TATAELXSI,3510038
TATAINVEST,373534
TATAMTRDVR,51675877
TATAMOTORS,215478234
TATAPOWER,149707993
TATASTLBSL,13092892
TATASTEEL,47742372
TEAMLEASE,296247
TECHM,23296517
NIACL,3077262
RAMCOCEM,3473638
THERMAX,700628
THYROCARE,4567966
TIMETECHNO,4949003
TIMKEN,350979
TITAN,17284462
TORNTPHARM,8623799
TORNTPOWER,13115820
TRENT,4548300
TRIDENT,114820494
TIINDIA,1201795
UCOBANK,51931816
UFLEX,3013836
UPL,22982753
UJJIVAN,20485831
UJJIVANSFB,27937203
ULTRACEMCO,2492216
UNIONBANK,24991473
UBL,3561355
MCDOWELL-N,15134744
VGUARD,5997435
VMART,218586
VIPIND,4109555
VRLLOG,3207306
VSTIND,129026
VAIBHAVGBL,260088
VAKRANGEE,10925310
VTL,248024
VARROC,3885082
VBL,3119316
VENKEYS,1830437
VESUVIUS,106409
VINATIORGA,2027239
IDEA,2399245304
VOLTAS,13522328
WABCOINDIA,80524
WELCORP,7775927
WELSPUNIND,7506658
WESTLIFE,2372693
WHIRLPOOL,236089
WIPRO,130367693
WOCKPHARMA,8528394
ZEEL,165959680
ZENSARTECH,2645019
ZYDUSWELL,292997
ECLERX,1959461
