,0
3MINDIA,49628
ABB,1355781
ACC,6433390
AIAENG,407838
APLAPOLLO,854822
AUBANK,2932527
AARTIIND,5093872
AAVAS,3477991
ABBOTINDIA,70490
ADANIGAS,17977178
ADANIGREEN,20107415
ADANIPORTS,19379274
ADANIPOWER,68612729
ADANITRANS,6021271
ABCAPITAL,29993208
ABFRL,59258955
ADVENZYMES,6767608
AEGISCHEM,1890624
AFFLE,386357
AJANTPHARM,1229327
AKZOINDIA,127860
APLLTD,4758686
ALKEM,2337098
ALKYLAMINE,280116
ALLCARGO,4611328
AMARAJABAT,4067306
AMBER,6969444
AMBUJACEM,20195023
APOLLOHOSP,5742873
APOLLOTYRE,32759762
ARVINDFASN,1496031
ASAHIINDIA,1094025
ASHOKLEY,245009983
ASHOKA,12723487
ASIANPAINT,11545936
ASTERDM,2270422
ASTRAZEN,1178567
ASTRAL,886630
ATUL,496709
AUROPHARMA,18788170
AVANTIFEED,8903208
DMART,3878450
AXISBANK,96190274
BASF,1435964
BEML,3557942
BSE,3359783
BAJAJ-AUTO,4741959
BAJAJCON,12100787
BAJAJELEC,2589167
BAJFINANCE,25960105
BAJAJFINSV,3595572
BAJAJHLDNG,199931
BALKRISIND,3043665
BALMLAWRIE,3467762
BALRAMCHIN,8254934
BANDHANBNK,124393085
BANKBARODA,135178756
BANKINDIA,33492218
MAHABANK,32629369
BATAINDIA,3094827
BAYERCROP,284769
BERGEPAINT,5574107
BDL,12559724
BEL,68446245
BHARATFORG,27030796
BHEL,309686625
BPCL,53842324
BHARATRAS,85650
BHARTIARTL,186856499
INFRATEL,69139082
BIOCON,46798867
BIRLACORPN,10220636
BSOFT,22520879
BLISSGVS,2471329
BLUEDART,481444
BLUESTARCO,957851
BOMDYEING,21597762
BOSCHLTD,248803
BRIGADE,3120653
BRITANNIA,4503046
CARERATING,4181973
CCL,1199242
CESC,2279622
CRISIL,310169
CSBBANK,3607093
CADILAHC,30218448
CANFINHOME,3925401
CANBK,48569715
CAPLIPOINT,4448819
CGCL,1044525
CARBORUNIV,2458544
CASTROLIND,10743139
CEATLTD,1858572
CENTRALBK,16317976
CDSL,13126221
CENTURYPLY,3976275
CENTURYTEX,10633724
CERA,104252
CHAMBLFERT,7127971
CHENNPETRO,15497025
CHOLAHLDNG,581297
CHOLAFIN,41613534
CIPLA,56895564
CUB,11408432
COALINDIA,34587382
COCHINSHIP,2577895
COFORGE,6184703
COLPAL,3482423
CONCOR,18123494
COROMANDEL,6441137
CREDITACC,673727
CROMPTON,7411446
CUMMINSIND,7244155
CYIENT,6160270
DBCORP,2845550
DCBBANK,17535842
DCMSHRIRAM,895014
DLF,76444741
DABUR,10807949
DALBHARAT,1512876
DEEPAKNTR,7373105
DELTACORP,14374049
DHANUKA,899455
DBL,3442566
DISHTV,56048806
DCAL,5335028
DIVISLAB,6257683
DIXON,316385
LALPATHLAB,1499604
DRREDDY,21987146
EIDPARRY,4420562
EIHOTEL,7059030
ESABINDIA,121411
EDELWEISS,8681437
EICHERMOT,11491732
ELGIEQUIP,1783454
EMAMILTD,9852405
ENDURANCE,1030070
ENGINERSIN,16693201
EQUITAS,58169064
ERIS,2648052
ESCORTS,8979667
EXIDEIND,18729398
FDC,3716257
FEDERALBNK,131279166
FINEORG,429264
FINCABLES,932724
FINPIPE,659257
FSL,27028491
FORTIS,8745623
FCONSUMER,113816582
FRETAIL,105278521
GAIL,51900025
GEPIL,2572844
GET&D,3182213
GHCL,2147028
GMMPFAUDLR,1539961
GMRINFRA,117422995
GALAXYSURF,412500
GRSE,2078914
GARFIBRES,147096
GICRE,3007792
GILLETTE,81282
GLAXO,859170
GLENMARK,89266592
GODFRYPHLP,1408520
GODREJAGRO,1169284
GODREJCP,6532211
GODREJIND,2612937
GODREJPROP,8420049
GRANULES,19975291
GRAPHITE,3722937
GRASIM,15465826
GESHIP,5687553
GREAVESCOT,6500382
GRINDWELL,222068
GUJALKALI,1881491
FLUOROCHEM,556336
GUJGASLTD,3479123
GMDCLTD,10970927
GNFC,5978125
GPPL,2634365
GSFC,7139217
GSPL,3606070
GULFOILLUB,656720
HEG,6618230
HCLTECH,32312531
HDFCAMC,2391626
HDFCBANK,37744926
HDFCLIFE,27847477
HFCL,26973647
HATSUN,465331
HAVELLS,12035236
HEIDELBERG,3027108
HERITGFOOD,1152850
HEROMOTOCO,5321204
HEXAWARE,6990404
HSCL,18196299
HIMATSEIDE,9214513
HINDALCO,47894902
HAL,8293655
HINDCOPPER,12993580
HINDPETRO,48028970
HINDUNILVR,185670048
HINDZINC,9176036
HONAUT,28581
HUDCO,18452304
HDFC,16829628
ICICIBANK,125940299
ICICIGI,27038404
ICICIPRULI,13869760
ISEC,13620804
ICRA,20841
IDBI,27817843
IDFCFIRSTB,153802985
IDFC,65527915
IFBIND,1049177
IFCI,23557938
IIFL,6529492
IIFLWAM,381617
IRCON,9479006
ITC,96998374
ITI,27560173
INDIACEM,23761213
ITDC,1420251
IBULHSGFIN,97952166
IBREALEST,15116541
INDIAMART,1266658
INDIANB,29751493
IEX,7942897
INDHOTEL,24582532
IOC,93905218
IOB,52333316
IRCTC,4335458
INDOSTAR,1515152
INDOCO,1839064
IGL,29968421
INDUSINDBK,81336450
INFIBEAM,6204548
NAUKRI,1519933
INFY,90433393
INGERRAND,383846
INOXLEISUR,4542948
INTELLECT,1500005
INDIGO,16902268
IPCALAB,2459029
JBCHEPHARM,4572424
JKCEMENT,364690
JKLAKSHMI,3192062
JKPAPER,8275335
JKTYRE,11463565
JMFINANCIL,7581514
JSWENERGY,17345601
JSWSTEEL,30383793
JAGRAN,5946834
JAICORPLTD,14158391
J&KBANK,17108969
JAMNAAUTO,17687016
JINDALSAW,8960118
JSLHISAR,3815529
JSL,3815529
JINDALSTEL,57513757
JCHAC,115514
JUBLFOOD,11650846
JUBILANT,5388033
JUSTDIAL,14998459
JYOTHYLAB,7072540
KPRMILL,564166
KEI,1840738
KNRCON,1977211
KPITTECH,4213806
KRBL,2572409
KSB,725189
KAJARIACER,3464620
KALPATPOWR,2457512
KANSAINER,1664060
KTKBANK,15161059
KARURVYSYA,19343518
KSCL,2040704
KEC,2491380
KOLTEPATIL,1706780
KOTAKBANK,33167143
L&TFH,62051746
LTTS,1800324
LICHSGFIN,43294607
LAOPALA,3110653
LAXMIMACH,103154
LTI,1614848
LT,14580386
LAURUSLABS,23138588
LEMONTREE,42688897
LINDEINDIA,1004097
LUPIN,26834216
LUXIND,411095
MASFIN,251548
MMTC,20304668
MOIL,3636617
MRF,88721
MGL,3108378
MAHSCOOTER,165457
MAHSEAMLES,1628463
M&M,18993400
MAHINDCIE,8833225
MHRIL,446211
MAHLOG,1323576
MANAPPURAM,38625429
MRPL,22946888
MARICO,17067122
MARUTI,3454869
MFSL,13467202
METROPOLIS,1269329
MINDTREE,9049480
MINDACORP,7064915
MINDAIND,4601405
MIDHANI,5402163
MOTHERSUMI,89956108
MOTILALOFS,565408
MPHASIS,4244601
MCX,2177803
MUTHOOTFIN,18024858
NATCOPHARM,7395084
NBCC,75154401
NCC,70459459
NESCO,2415944
NHPC,32435827
NLCINDIA,4975929
NMDC,67246633
NTPC,118128168
NH,1124440
NATIONALUM,72653821
NFL,39662814
NBVENTURES,7184343
NAVINFLUOR,788692
NESTLEIND,562034
NILKAMAL,260168
NAM-INDIA,13651945
OBEROIRLTY,3651013
ONGC,121278403
OIL,8865446
OMAXE,5854229
OFSS,512205
ORIENTCEM,7136041
ORIENTELEC,2216260
ORIENTREF,648563
PIIND,1084043
PNBHOUSING,4925782
PNCINFRA,2068485
PTC,15812046
PAGEIND,204218
PERSISTENT,1936847
PETRONET,11852877
PFIZER,393296
PHILIPCARB,20942614
PHOENIXLTD,11986030
PIDILITIND,4759520
PEL,8409962
POLYMED,1686988
POLYCAB,3608356
PFC,26504406
POWERGRID,35912738
PRAJIND,7970216
PRESTIGE,3919935
PRSMJOHNSN,1889457
PGHL,143474
PGHH,71637
PNB,127140495
QUESS,1313790
RBLBANK,141324314
RECLTD,28165688
RITES,8126008
RADICO,4923457
RVNL,61661007
RAIN,13791275
RAJESHEXPO,997519
RALLIS,8418833
RCF,15140011
RATNAMANI,195250
RAYMOND,5228935
REDINGTON,5756982
RELAXO,1168386
RELIANCE,64751766
REPCOHOME,3825904
SBICARD,11939340
SBILIFE,14778958
SJVN,11296953
SKFINDIA,322757
SRF,1465504
SADBHAV,3087707
SANOFI,125793
SCHAEFFLER,125722
SCHNEIDER,1432818
SIS,1194599
SEQUENT,6117573
SFL,543880
SCI,18491461
SHOPERSTOP,2303915
SHREECEM,239232
RENUKA,15376324
SHRIRAMCIT,846699
SRTRANSFIN,15362637
SIEMENS,5438633
SOBHA,2939417
SOLARINDS,373009
SONATSOFTW,2512356
SOUTHBANK,139317310
SPANDANA,365346
SPICEJET,21212084
STARCEMENT,3519713
SBIN,201325176
SAIL,212561500
SWSOLAR,2331699
STAR,10212377
SUDARSCHEM,2187948
SUMICHEM,8170236
SPARC,8315725
SUNPHARMA,48182254
SUNTV,18646333
SUNDARMFIN,627622
SUNDRMFAST,728476
SUNTECK,9684035
SUPRAJIT,2454038
SUPREMEIND,378556
SUZLON,152568245
SWANENERGY,883946
SYMPHONY,421857
SYNGENE,7034805
TCIEXP,376910
